Ticker,Market Cap
NHI,3228279296
NI,14307469312
NIC,1383251840
NIE,622898304
NIM,113774368
NINE,50635904
NIO,8244321792
NJR,4499233792
NKE,124791734272
NKX,628218368
NL,342910848
NLOP,444584960
NLY,10075471872
NMAI,440215168
NMCO,627481728
NMG,190118240
NMI,101214576
NMM,1384256640
NMR,17050984448
NMS,72974824
NMT,105461456
NMZ,1217034368
NNI,3992937472
NNN,8279393280
NNY,161665024
NOA,506787456
NOAH,531600544
NOC,74096484352
NOG,3866639104
NOK,22113949696
NOM,24980394
NOMD,2959605760
NOTE,174343760
NOV,7063104000
NOVA,1072581760
NOW,170359013376
NPCT,327231904
NPFD,444861088
NPK,519816608
NPO,3204903680
NPV,211152960
NPWR,610371264
NQP,458151136
NR,688265408
NRDY,170033920
NREF,346042304
NRG,17084136448
NRGV,146827248
NRK,965694720
NRP,1145058560
NRT,52753984
NRUC,N/A
NSA,5502790656
NSC,54362521600
